sample,rep_1,rep_2,Pass_coverage,hhsubid
105103006,10164.198374745,9327.75661304886,Pass,105103
105103007,9406.65618834231,19309.9718088486,Pass,105103
105103009,1077.87171855667,2515.32919773936,Pass,105103
105202001,11870.8464033709,10594.4616259238,Pass,105202
105202003,10499.1550011705,3957.88201852657,Pass,105202
105202004,4614.38711834933,5585.26525766645,Pass,105202
105701002,10520.6279971909,12996.7439721767,Pass,105701
105701003,12055.7653078286,12596.4545028927,Pass,105701
105701004,9378.27171186837,3339.48991739959,Pass,105701
105701005,7019.37912584022,6626.17877804902,Pass,105701
105701006,2406.39129853192,3437.52325853593,Pass,105701
105701007,4580.41989098084,6806.56669899341,Pass,105701
105701008,1145.75303481256,2226.69772263652,Pass,105701
105801002,7877.29498712504,5235.76196368257,Pass,105801
105801003,6990.19466274287,3394.70885864295,Pass,105801
105801004,6916.99461592482,2544.56312075711,Pass,105801
105801005,5294.9945490419,3935.16760860114,Pass,105801
105801006,6771.84198909808,4116.65802762265,Pass,105801
105901002,9671.43871852322,10472.1993779888,Pass,105901
105901003,9309.25154666756,3473.56629769588,Pass,105901
105901004,6188.66501688794,6349.25626191352,Pass,105901
105901005,7116.80506972545,7964.97943350165,Pass,105901
105901006,1848.16757515968,2517.13831388155,Pass,105901
105901007,1744.88740260175,1784.173694947,Pass,105901
105901008,5544.05390763469,2378.39477644383,Pass,105901
105901009,3496.4958699796,2031.24987459452,Pass,105901
106001002,4981.92866936428,2608.95789720095,Pass,106001
106001003,3610.07119686988,2911.7584523292,Pass,106001
106001004,4133.70902585025,2761.05123231783,Pass,106001
106001005,3369.82687355784,2724.54823930709,Pass,106001
106001006,8101.0241781761,5899.86974551048,Pass,106001
106001007,8501.04548038658,5215.12781326288,Pass,106001
106001008,1698.78370063204,1210.26371935926,Pass,106001
106001009,4739.29140888874,2859.44467110323,Pass,106001
106001010,1012.33685583386,1767.48306190014,Pass,106001
106002001,6611.93415376384,14690.075343611,Pass,106002
106002003,3284.43326756513,3531.09376985587,Pass,106002
106002004,3107.44905193459,2679.95187773802,Pass,106002
106003003,5536.94421964351,8797.99030197639,Pass,106003
106003004,9162.72554593185,7527.94585827509,Pass,106003
106003005,11713.2267331037,7338.60819984617,Pass,106003
106003006,8825.76166270943,5837.62853225429,Pass,106003
106003007,4990.85884359429,3572.16255894057,Pass,106003
